sequence,time (ms)
turbokube-0000,5917
turbokube-0001,5440
turbokube-0002,4992
turbokube-0003,5198
turbokube-0004,5335
turbokube-0005,5341
turbokube-0006,4992
turbokube-0007,5189
turbokube-0008,5188
turbokube-0009,5191
turbokube-000a,4991
turbokube-000b,5741
turbokube-000c,5543
turbokube-000d,4990
turbokube-000e,5341
turbokube-000f,5189
turbokube-0010,5692
turbokube-0011,4992
turbokube-0012,5691
turbokube-0013,5490
turbokube-0014,5142
turbokube-0015,5192
turbokube-0016,5541
turbokube-0017,5343
turbokube-0018,5390
turbokube-0019,5534
turbokube-001a,5541
turbokube-001b,5138
turbokube-001c,4993
turbokube-001d,5539
turbokube-001e,5340
turbokube-001f,4966
turbokube-0020,5188
turbokube-0021,5192
turbokube-0022,5392
turbokube-0023,5493
turbokube-0024,5191
turbokube-0025,5339
turbokube-0026,5193
turbokube-0027,5193
turbokube-0028,5339
turbokube-0029,5590
turbokube-002a,5141
turbokube-002b,5142
turbokube-002c,5341
turbokube-002d,5293
turbokube-002e,5390
turbokube-002f,5345
turbokube-0030,5140
turbokube-0031,4992
turbokube-0032,5182
turbokube-0033,5191
turbokube-0034,5190
turbokube-0035,5289
turbokube-0036,5140
turbokube-0037,5291
turbokube-0038,5140
turbokube-0039,5192
turbokube-003a,5538
turbokube-003b,5141
turbokube-003c,5140
turbokube-003d,5145
turbokube-003e,4988
turbokube-003f,5541
turbokube-0040,5692
turbokube-0041,5290
turbokube-0042,4990
turbokube-0043,4990
turbokube-0044,5740
turbokube-0045,5143
turbokube-0046,4992
turbokube-0047,5192
turbokube-0048,5340
turbokube-0049,5155
turbokube-004a,5480
turbokube-004b,5135
turbokube-004c,4991
turbokube-004d,5143
turbokube-004e,5591
turbokube-004f,4993
turbokube-0050,5141
turbokube-0051,5343
turbokube-0052,5340
turbokube-0053,5192
turbokube-0054,5142
turbokube-0055,4991
turbokube-0056,5342
turbokube-0057,5393
turbokube-0058,5143
turbokube-0059,4992
turbokube-005a,4990
turbokube-005b,4994
turbokube-005c,4988
turbokube-005d,5147
turbokube-005e,5935
turbokube-005f,4990
turbokube-0060,5341
turbokube-0061,5543
turbokube-0062,5192
turbokube-0063,5187
turbokube-0064,4986
turbokube-0065,5191
turbokube-0066,4990
turbokube-0067,5892
turbokube-0068,5539
turbokube-0069,5142
turbokube-006a,4990
turbokube-006b,4991
turbokube-006c,4992
turbokube-006d,5142
turbokube-006e,5241
turbokube-006f,5475
turbokube-0070,5340
turbokube-0071,4992
turbokube-0072,4989
turbokube-0073,5190
turbokube-0074,5140
turbokube-0075,4993
turbokube-0076,4990
turbokube-0077,5739
turbokube-0078,5491
turbokube-0079,5290
turbokube-007a,5192
turbokube-007b,5918
turbokube-007c,5164
turbokube-007d,5186
turbokube-007e,5190
turbokube-007f,5643
turbokube-0080,5191
turbokube-0081,5543
turbokube-0082,5139
turbokube-0083,4992
turbokube-0084,4991
turbokube-0085,5393
turbokube-0086,5892
turbokube-0087,4989
turbokube-0088,4992
turbokube-0089,5194
turbokube-008a,5339
turbokube-008b,4994
turbokube-008c,5192
turbokube-008d,5392
turbokube-008e,5141
turbokube-008f,5692
turbokube-0090,5393
turbokube-0091,5187
turbokube-0092,4993
turbokube-0093,4990
turbokube-0094,5193
turbokube-0095,5591
turbokube-0096,4985
turbokube-0097,5342
turbokube-0098,5341
turbokube-0099,5457
turbokube-009a,5177
turbokube-009b,5542
turbokube-009c,5192
turbokube-009d,5141
turbokube-009e,5542
turbokube-009f,5742
turbokube-00a0,5542
turbokube-00a1,4990
turbokube-00a2,4991
turbokube-00a3,4988
turbokube-00a4,4998
turbokube-00a5,4984
turbokube-00a6,5142
turbokube-00a7,5190
turbokube-00a8,5192
turbokube-00a9,5194
turbokube-00aa,5321
turbokube-00ab,5012
turbokube-00ac,4992
turbokube-00ad,5541
turbokube-00ae,5392
turbokube-00af,5335
turbokube-00b0,5390
turbokube-00b1,5144
turbokube-00b2,5141
turbokube-00b3,5690
turbokube-00b4,5695
turbokube-00b5,5187
turbokube-00b6,5390
turbokube-00b7,5340
turbokube-00b8,5191
turbokube-00b9,5343
turbokube-00ba,4990
turbokube-00bb,5341
turbokube-00bc,4991
turbokube-00bd,5341
turbokube-00be,5339
turbokube-00bf,4990
turbokube-00c0,4992
turbokube-00c1,5343
turbokube-00c2,4990
turbokube-00c3,5543
turbokube-00c4,4991
turbokube-00c5,5342
turbokube-00c6,5293
turbokube-00c7,5197
turbokube-00c8,5570
turbokube-00c9,4994
turbokube-00ca,5589
turbokube-00cb,5142
turbokube-00cc,5390
turbokube-00cd,5341
turbokube-00ce,5593
turbokube-00cf,5143
turbokube-00d0,5342
turbokube-00d1,5742
turbokube-00d2,5542
turbokube-00d3,4992
turbokube-00d4,5392
turbokube-00d5,5192
turbokube-00d6,5342
turbokube-00d7,4992
turbokube-00d8,5190
turbokube-00d9,5192
turbokube-00da,5341
turbokube-00db,5003
turbokube-00dc,4981
turbokube-00dd,5547
turbokube-00de,4984
turbokube-00df,4992
turbokube-00e0,4992
turbokube-00e1,5385
turbokube-00e2,5141
turbokube-00e3,4992
turbokube-00e4,5290
turbokube-00e5,5192
turbokube-00e6,5141
turbokube-00e7,5542
turbokube-00e8,5292
turbokube-00e9,5192
turbokube-00ea,5193
turbokube-00eb,5390
turbokube-00ec,5293
turbokube-00ed,4990
turbokube-00ee,4991
turbokube-00ef,5343
turbokube-00f0,5542
turbokube-00f1,4992
turbokube-00f2,5539
turbokube-00f3,4992
turbokube-00f4,4992
turbokube-00f5,4994
turbokube-00f6,5391
turbokube-00f7,5343
turbokube-00f8,5587
turbokube-00f9,5394
turbokube-00fa,5531
turbokube-00fb,5393
turbokube-00fc,5191
turbokube-00fd,5694
turbokube-00fe,5141
turbokube-00ff,5342
turbokube-0100,5943
turbokube-0101,6189
turbokube-0102,5544
turbokube-0103,5287
turbokube-0104,5342
turbokube-0105,4991
turbokube-0106,5193
turbokube-0107,5740
turbokube-0108,5189
turbokube-0109,4992
turbokube-010a,4992
