sequence,time (ms)
turbokube-0001,5017
turbokube-0002,5143
turbokube-0003,5838
turbokube-0004,5392
turbokube-0005,5340
turbokube-0006,5198
turbokube-0007,5385
turbokube-0008,5142
turbokube-0009,5391
turbokube-000a,5489
turbokube-000b,5338
turbokube-000c,5190
turbokube-000d,5541
turbokube-000e,5141
turbokube-000f,5291
turbokube-0010,5741
turbokube-0011,5392
turbokube-0012,5490
turbokube-0013,5140
turbokube-0014,5141
turbokube-0015,5289
turbokube-0016,4987
turbokube-0017,4991
turbokube-0018,5190
turbokube-0019,5689
turbokube-001a,5382
turbokube-001b,5492
turbokube-001c,5141
turbokube-001d,4989
turbokube-001e,5542
turbokube-001f,5544
turbokube-0020,5538
turbokube-0021,5341
turbokube-0022,5743
turbokube-0023,5007
turbokube-0024,5125
turbokube-0025,5891
turbokube-0026,5193
turbokube-0027,5193
turbokube-0028,5340
turbokube-0029,4992
turbokube-002a,5343
turbokube-002b,5137
turbokube-002c,4993
turbokube-002d,5542
turbokube-002e,5141
turbokube-002f,5391
turbokube-0030,5340
turbokube-0031,5139
turbokube-0032,5394
turbokube-0033,5335
turbokube-0034,5141
turbokube-0035,5743
turbokube-0036,5742
turbokube-0037,5741
turbokube-0038,4992
turbokube-0039,4991
turbokube-003a,4992
turbokube-003b,5843
turbokube-003c,5192
turbokube-003d,5192
turbokube-003e,5342
turbokube-003f,4992
turbokube-0040,5191
turbokube-0041,5142
turbokube-0042,5895
turbokube-0043,5837
turbokube-0044,4998
turbokube-0045,5732
turbokube-0046,5342
turbokube-0047,5543
turbokube-0048,5338
turbokube-0049,5191
turbokube-004a,5393
turbokube-004b,4990
turbokube-004c,4986
turbokube-004d,4991
turbokube-004e,5891
turbokube-004f,5541
turbokube-0050,4990
turbokube-0051,5344
turbokube-0052,5841
turbokube-0053,5541
turbokube-0054,5192
turbokube-0055,5690
turbokube-0056,4991
turbokube-0057,5293
turbokube-0058,6192
turbokube-0059,4990
turbokube-005a,5490
turbokube-005b,5542
turbokube-005c,5141
turbokube-005d,5541
turbokube-005e,5543
turbokube-005f,5291
turbokube-0060,4990
turbokube-0061,4989
turbokube-0062,5392
turbokube-0063,5338
turbokube-0064,5136
turbokube-0065,5285
turbokube-0066,5340
turbokube-0067,4992
turbokube-0068,4991
turbokube-0069,4992
turbokube-006a,5742
turbokube-006b,5342
turbokube-006c,5541
turbokube-006d,5142
turbokube-006e,5192
turbokube-006f,5392
turbokube-0070,5289
turbokube-0071,5142
turbokube-0072,5141
turbokube-0073,5338
turbokube-0074,5545
turbokube-0075,5492
turbokube-0076,4989
turbokube-0077,5541
turbokube-0078,5492
turbokube-0079,5192
turbokube-007a,5192
turbokube-007b,4982
turbokube-007c,5339
turbokube-007d,5196
turbokube-007e,5007
turbokube-007f,5542
turbokube-0080,5192
turbokube-0081,5693
turbokube-0082,5140
turbokube-0083,5339
turbokube-0084,5339
turbokube-0085,5940
turbokube-0086,5192
turbokube-0087,5540
turbokube-0088,5692
turbokube-0089,5193
turbokube-008a,5341
turbokube-008b,5137
turbokube-008c,5142
turbokube-008d,5142
turbokube-008e,4991
turbokube-008f,5341
turbokube-0090,4992
turbokube-0091,5492
turbokube-0092,4991
turbokube-0093,4989
turbokube-0094,4983
turbokube-0095,4990
turbokube-0096,4992
turbokube-0097,5183
turbokube-0098,5191
turbokube-0099,5338
turbokube-009a,5693
turbokube-009b,5491
turbokube-009c,5142
turbokube-009d,5141
turbokube-009e,5392
turbokube-009f,5691
turbokube-00a0,5391
turbokube-00a1,5542
turbokube-00a2,5689
turbokube-00a3,4993
turbokube-00a4,5390
turbokube-00a5,5192
turbokube-00a6,5199
turbokube-00a7,5328
turbokube-00a8,5193
turbokube-00a9,5191
turbokube-00aa,4989
turbokube-00ab,4993
turbokube-00ac,5340
turbokube-00ad,5541
turbokube-00ae,5140
turbokube-00af,5389
turbokube-00b0,5484
turbokube-00b1,4991
turbokube-00b2,5189
turbokube-00b3,4992
turbokube-00b4,4991
turbokube-00b5,5391
turbokube-00b6,5343
turbokube-00b7,5342
turbokube-00b8,5341
turbokube-00b9,5340
turbokube-00ba,5341
turbokube-00bb,4993
turbokube-00bc,5306
turbokube-00bd,4998
turbokube-00be,5343
turbokube-00bf,5192
turbokube-00c0,5190
turbokube-00c1,4991
turbokube-00c2,5192
turbokube-00c3,5341
turbokube-00c4,5198
turbokube-00c5,5133
turbokube-00c6,5393
turbokube-00c7,5193
turbokube-00c8,4983
turbokube-00c9,4967
turbokube-00ca,5193
turbokube-00cb,5291
turbokube-00cc,4990
turbokube-00cd,5143
turbokube-00ce,5141
turbokube-00cf,5140
turbokube-00d0,5190
turbokube-00d1,5391
turbokube-00d2,5193
turbokube-00d3,4988
turbokube-00d4,4991
turbokube-00d5,5192
turbokube-00d6,5387
turbokube-00d7,4992
turbokube-00d8,5292
turbokube-00d9,5592
turbokube-00da,5192
turbokube-00db,4990
turbokube-00dc,5541
turbokube-00dd,5342
turbokube-00de,4992
turbokube-00df,5193
turbokube-00e0,5189
turbokube-00e1,5191
turbokube-00e2,5733
turbokube-00e3,4991
turbokube-00e4,5331
turbokube-00e5,4992
turbokube-00e6,5143
turbokube-00e7,4990
turbokube-00e8,6092
turbokube-00e9,5541
turbokube-00ea,5341
turbokube-00eb,5192
turbokube-00ec,5341
turbokube-00ed,5139
turbokube-00ee,4989
turbokube-00ef,5196
turbokube-00f0,5535
turbokube-00f1,4989
turbokube-00f2,5142
turbokube-00f3,5140
turbokube-00f4,4991
turbokube-00f5,4993
turbokube-00f6,5539
turbokube-00f7,5143
turbokube-00f8,5157
turbokube-00f9,5326
turbokube-00fa,5190
turbokube-00fb,5335
turbokube-00fc,5140
turbokube-00fd,5342
turbokube-00fe,5543
turbokube-00ff,5389
turbokube-0100,5539
turbokube-0101,5341
turbokube-0102,5193
turbokube-0103,5191
turbokube-0104,5141
turbokube-0105,5191
turbokube-0106,5340
turbokube-0107,5193
turbokube-0108,5190
turbokube-0109,5340
turbokube-010a,5341
turbokube-010b,5492
turbokube-010c,4993
turbokube-010d,5397
turbokube-010e,4981
turbokube-010f,5544
turbokube-0110,5693
turbokube-0111,5736
turbokube-0112,5311
turbokube-0113,4970
turbokube-0114,4983
turbokube-0115,5142
turbokube-0116,5543
turbokube-0117,5492
turbokube-0118,5541
turbokube-0119,5592
turbokube-011a,5341
turbokube-011b,5343
turbokube-011c,5190
turbokube-011d,5542
turbokube-011e,5338
turbokube-011f,4992
turbokube-0120,4993
turbokube-0121,5189
turbokube-0122,5193
