sequence,time (ms)
turbokube-0003,12205
turbokube-0004,11284
turbokube-0000,40867
turbokube-0005,17894
turbokube-0006,17588
turbokube-0007,18732
turbokube-0008,23985
turbokube-0001,81532
turbokube-0009,23916
turbokube-000a,25287
turbokube-000b,24383
turbokube-000c,25766
turbokube-000d,24635
turbokube-000e,25674
turbokube-000f,25232
turbokube-0010,25687
turbokube-0011,23890
turbokube-0012,24540
turbokube-0013,24536
turbokube-0015,24735
turbokube-0014,26209
turbokube-0016,24888
turbokube-0018,23911
turbokube-0017,25903
turbokube-0019,24337
turbokube-001a,23949
turbokube-001b,24009
turbokube-001c,24587
turbokube-001d,24583
turbokube-001e,26292
turbokube-001f,25336
turbokube-0020,25940
turbokube-0021,24590
turbokube-0022,25140
turbokube-0023,24540
turbokube-0024,24191
turbokube-0025,26031
turbokube-0026,25442
turbokube-0027,25991
turbokube-0002,359919
turbokube-0028,32538
turbokube-0029,34038
turbokube-002a,32439
turbokube-002b,31823
turbokube-002c,31990
turbokube-002d,31240
turbokube-002e,32693
turbokube-002f,31686
turbokube-0030,33238
turbokube-0032,31139
turbokube-0031,34131
turbokube-0033,31038
turbokube-0035,31188
turbokube-0034,38140
turbokube-0036,32959
turbokube-0037,34536
turbokube-0039,31341
turbokube-0038,34740
turbokube-003a,31844
turbokube-003b,30937
turbokube-003d,30959
turbokube-003e,32711
turbokube-003c,35841
turbokube-003f,31212
turbokube-0040,31842
turbokube-0041,31489
turbokube-0042,33097
turbokube-0043,31546
turbokube-0044,32288
turbokube-0045,33040
turbokube-0046,33787
turbokube-0047,31337
turbokube-0048,32089
turbokube-0049,32392
turbokube-004a,32390
turbokube-004b,32786
turbokube-004c,32333
turbokube-004d,33490
turbokube-004e,33090
turbokube-004f,32538
turbokube-0050,32880
turbokube-0051,32695
turbokube-0052,34742
turbokube-0053,34042
turbokube-0054,33237
turbokube-0055,32737
turbokube-0056,34790
turbokube-0057,31632
turbokube-0058,31988
turbokube-0059,31981
turbokube-005a,32904
turbokube-005b,31542
turbokube-005c,33390
turbokube-005d,32793
turbokube-005e,31203
turbokube-005f,32388
turbokube-0060,31692
turbokube-0061,32636
turbokube-0062,32336
turbokube-0063,33028
turbokube-0064,33181
turbokube-0065,33043
