sequence,time (ms)
turbokube-0019,9401
turbokube-001a,8949
turbokube-001b,8983
turbokube-001c,8788
turbokube-001d,9095
turbokube-001e,8945
turbokube-001f,8676
turbokube-0020,9093
turbokube-0021,9038
turbokube-0022,8941
turbokube-0023,8742
turbokube-0024,8978
turbokube-0025,9240
turbokube-0026,9041
turbokube-0027,8591
turbokube-0028,8790
turbokube-0029,9193
turbokube-002a,8789
turbokube-002b,8841
turbokube-002c,8745
turbokube-002d,9287
turbokube-002e,9064
turbokube-002f,8767
turbokube-0030,8841
turbokube-0031,8691
turbokube-0032,8930
turbokube-0033,8991
turbokube-0034,8790
turbokube-0035,8990
turbokube-0036,9240
turbokube-0037,9239
turbokube-0038,9105
turbokube-0039,8925
turbokube-003a,8940
turbokube-003b,8950
turbokube-003c,8780
turbokube-003d,8992
turbokube-003e,9440
turbokube-003f,9017
turbokube-0040,9261
turbokube-0041,8790
turbokube-0042,9391
turbokube-0043,8840
turbokube-0044,8888
turbokube-0045,8940
turbokube-0046,9040
turbokube-0047,8892
turbokube-0048,8889
turbokube-0049,8988
turbokube-004a,8992
turbokube-004b,8782
turbokube-004c,8941
turbokube-004d,8890
turbokube-004e,9140
turbokube-004f,8891
turbokube-0050,9090
turbokube-0051,9246
turbokube-0052,9180
turbokube-0053,9040
turbokube-0054,9045
turbokube-0055,8733
turbokube-0056,8639
turbokube-0057,8940
turbokube-0058,9140
turbokube-0059,9239
turbokube-005a,9239
turbokube-005b,8790
turbokube-005c,8945
turbokube-005d,8936
turbokube-005e,9441
turbokube-005f,8890
turbokube-0060,9040
turbokube-0061,8956
turbokube-0062,9028
turbokube-0063,9292
turbokube-0064,9083
turbokube-0065,9037
turbokube-0066,8990
turbokube-0067,9342
turbokube-0068,8689
turbokube-0069,9042
turbokube-006a,9139
turbokube-006b,8642
turbokube-006c,8967
turbokube-006d,8620
turbokube-006e,9538
turbokube-006f,8925
turbokube-0070,9238
turbokube-0071,9540
turbokube-0072,9092
turbokube-0073,9190
turbokube-0074,9190
turbokube-0075,8940
turbokube-0076,9196
turbokube-0077,9601
turbokube-0078,8742
turbokube-0079,9439
turbokube-007a,8890
turbokube-007b,8890
turbokube-007c,9038
turbokube-007d,8985
turbokube-007e,8990
turbokube-007f,9090
turbokube-0080,9088
turbokube-0081,9055
turbokube-0082,9062
turbokube-0083,8990
turbokube-0084,8787
turbokube-0085,9140
turbokube-0086,8792
turbokube-0087,9035
turbokube-0088,8933
turbokube-0089,9189
turbokube-008a,9191
turbokube-008b,8940
turbokube-008c,9557
turbokube-008d,9322
turbokube-008e,9240
turbokube-008f,8793
turbokube-0090,8839
turbokube-0091,8788
turbokube-0092,9040
turbokube-0093,9039
turbokube-0094,9093
turbokube-0095,9169
turbokube-0096,9233
turbokube-0097,9193
turbokube-0098,8939
turbokube-0099,9093
turbokube-009a,8937
turbokube-009b,8991
turbokube-009c,8838
turbokube-009d,9240
turbokube-009e,9110
turbokube-009f,9222
turbokube-00a0,9038
turbokube-00a1,8740
turbokube-00a2,8891
turbokube-00a3,9292
turbokube-00a4,9191
turbokube-00a5,9439
turbokube-00a6,9393
turbokube-00a7,9489
turbokube-00a8,9221
turbokube-00a9,8815
turbokube-00aa,9030
turbokube-00ab,8651
turbokube-00ac,9171
turbokube-00ad,9142
turbokube-00ae,8840
turbokube-00af,8884
turbokube-00b0,9441
turbokube-00b1,8988
turbokube-00b2,8990
turbokube-00b3,9064
turbokube-00b4,8892
turbokube-00b5,9140
turbokube-00b6,9292
turbokube-00b7,9136
turbokube-00b8,9092
turbokube-00b9,9090
turbokube-00ba,9088
turbokube-00bb,8788
turbokube-00bc,8858
turbokube-00bd,8767
turbokube-00be,9339
turbokube-00bf,9440
turbokube-00c0,9244
turbokube-00c1,8737
turbokube-00c2,9111
turbokube-00c3,8774
turbokube-00c4,8690
turbokube-00c5,8891
turbokube-00c6,9087
turbokube-00c7,8786
turbokube-00c8,8787
turbokube-00c9,8889
turbokube-00ca,9039
turbokube-00cb,8791
turbokube-00cc,8792
turbokube-00cd,8989
turbokube-00ce,9393
turbokube-00cf,9039
turbokube-00d0,9141
turbokube-00d1,8787
turbokube-00d2,9242
turbokube-00d3,9210
turbokube-00d4,8921
turbokube-00d5,8889
turbokube-00d6,8890
turbokube-00d7,9149
turbokube-00d8,9128
turbokube-00d9,8890
turbokube-00da,8787
turbokube-00db,8791
turbokube-00dc,8941
turbokube-00dd,8991
turbokube-00de,9337
turbokube-00df,8890
turbokube-00e0,8740
turbokube-00e1,9157
turbokube-00e2,8591
turbokube-00e3,8891
turbokube-00e4,8837
turbokube-00e5,9240
turbokube-00e6,8895
turbokube-00e7,8737
turbokube-00e8,9090
turbokube-00e9,8942
turbokube-00ea,9130
turbokube-00eb,9045
turbokube-00ec,8792
turbokube-00ed,8694
turbokube-00ee,9038
turbokube-00ef,8841
turbokube-00f0,8748
turbokube-00f1,8975
turbokube-00f2,8890
turbokube-00f3,9003
turbokube-00f4,8928
turbokube-00f5,9091
turbokube-00f6,9293
turbokube-00f7,9188
turbokube-00f8,9190
turbokube-00f9,9192
turbokube-00fa,8738
turbokube-00fb,9142
turbokube-00fc,8736
turbokube-00fd,9142
turbokube-00fe,8890
turbokube-00ff,9090
turbokube-0100,9231
turbokube-0101,8890
turbokube-0102,9058
turbokube-0103,9212
turbokube-0104,8988
turbokube-0105,8740
turbokube-0106,8932
turbokube-0107,9091
turbokube-0108,9138
turbokube-0109,8855
turbokube-010a,8790
turbokube-010b,8741
turbokube-010c,9042
turbokube-010d,8838
turbokube-010e,8740
turbokube-010f,9188
turbokube-0110,8940
turbokube-0111,8806
turbokube-0112,9126
turbokube-0113,9085
turbokube-0114,8892
turbokube-0115,8838
turbokube-0116,8940
turbokube-0117,9241
turbokube-0118,9047
turbokube-0119,8988
turbokube-011a,9000
turbokube-011b,8853
turbokube-011c,8745
turbokube-011d,8734
turbokube-011e,9093
turbokube-011f,8907
turbokube-0120,9200
turbokube-0121,8831
turbokube-0122,9240
turbokube-0123,9143
turbokube-0124,8740
turbokube-0125,8791
turbokube-0126,8940
turbokube-0127,8736
turbokube-0128,8642
turbokube-0129,8990
turbokube-012a,8890
turbokube-012b,9091
turbokube-012c,8941
turbokube-012d,8890
turbokube-012e,8737
turbokube-012f,8943
turbokube-0130,8891
turbokube-0131,9008
turbokube-0132,8887
turbokube-0133,8740
turbokube-0134,8843
turbokube-0135,9134
turbokube-0136,9024
turbokube-0137,9136
turbokube-0138,9187
turbokube-0139,8790
turbokube-013a,8890
turbokube-013b,9188
turbokube-013c,9341
turbokube-013d,9284
turbokube-013e,9102
turbokube-013f,9030
turbokube-0140,8940
turbokube-0141,9091
turbokube-0142,9092
turbokube-0143,9135
turbokube-0144,8940
turbokube-0145,9690
turbokube-0146,9190
turbokube-0147,8959
turbokube-0148,9168
turbokube-0149,8839
turbokube-014a,8838
turbokube-014b,9111
turbokube-014c,9171
turbokube-014d,9103
turbokube-014e,8945
turbokube-014f,8986
turbokube-0150,8990
turbokube-0151,8688
turbokube-0152,9139
turbokube-0153,8875
turbokube-0154,8840
turbokube-0155,8890
turbokube-0156,8744
turbokube-0157,9136
turbokube-0158,8788
turbokube-0159,9091
turbokube-015a,9238
turbokube-015b,9090
turbokube-015c,8937
turbokube-015d,9493
turbokube-015e,9162
turbokube-015f,9287
turbokube-0160,8990
turbokube-0161,8900
turbokube-0162,9159
turbokube-0163,8990
turbokube-0164,8837
turbokube-0165,8734
turbokube-0166,9610
turbokube-0167,9073
turbokube-0168,8896
turbokube-0169,8688
turbokube-016a,9040
turbokube-016b,8939
turbokube-016c,9289
turbokube-016d,9191
turbokube-016e,8990
turbokube-016f,9188
turbokube-0170,8891
turbokube-0171,9100
turbokube-0172,9082
turbokube-0173,9065
turbokube-0174,9149
turbokube-0175,8991
turbokube-0176,8638
turbokube-0177,9089
turbokube-0178,8939
turbokube-0179,8892
turbokube-017a,9137
turbokube-017b,9140
turbokube-017c,8788
turbokube-017d,8887
turbokube-017e,8687
turbokube-017f,8690
turbokube-0180,9142
turbokube-0181,9318
turbokube-0182,8992
turbokube-0183,9243
turbokube-0184,9290
turbokube-0185,9088
turbokube-0186,9423
turbokube-0187,8808
turbokube-0188,9210
turbokube-0189,8890
turbokube-018a,8940
turbokube-018b,9097
turbokube-018c,8970
turbokube-018d,9088
turbokube-018e,9098
turbokube-018f,8983
turbokube-0190,9091
turbokube-0191,9140
turbokube-0192,8783
turbokube-0193,8939
turbokube-0194,9040
turbokube-0195,9090
turbokube-0196,9287
turbokube-0197,9345
turbokube-0198,8984
turbokube-0199,9302
turbokube-019a,9278
turbokube-019b,8990
turbokube-019c,9250
turbokube-019d,8980
turbokube-019e,8840
turbokube-019f,8841
turbokube-01a0,9031
turbokube-01a1,9001
turbokube-01a2,8680
turbokube-01a3,8996
turbokube-01a4,9283
turbokube-01a5,9186
turbokube-01a6,9189
turbokube-01a7,8838
turbokube-01a8,8792
turbokube-01a9,9241
turbokube-01aa,9038
turbokube-01ab,8990
turbokube-01ac,9154
turbokube-01ad,9131
turbokube-01ae,8938
turbokube-01af,9091
turbokube-01b0,8828
turbokube-01b1,8898
turbokube-01b2,8983
turbokube-01b3,8742
turbokube-01b4,9386
turbokube-01b5,9137
turbokube-01b6,9441
turbokube-01b7,8888
turbokube-01b8,9092
turbokube-01b9,9989
turbokube-01ba,9289
turbokube-01bb,8790
turbokube-01bc,8690
turbokube-01bd,8798
turbokube-01be,8984
turbokube-01bf,8889
turbokube-01c0,9143
turbokube-01c1,8989
turbokube-01c2,8887
turbokube-01c3,9099
turbokube-01c4,9232
turbokube-01c5,9292
turbokube-01c6,9137
turbokube-01c7,8988
turbokube-01c8,9092
turbokube-01c9,9143
turbokube-01ca,9211
turbokube-01cb,9308
turbokube-01cc,9431
turbokube-01cd,8896
turbokube-01ce,9290
turbokube-01cf,8638
turbokube-01d0,9239
turbokube-01d1,9176
turbokube-01d2,9142
turbokube-01d3,8891
turbokube-01d4,9137
turbokube-01d5,9141
turbokube-01d6,9137
turbokube-01d7,9392
turbokube-01d8,9199
turbokube-01d9,8792
turbokube-01da,9076
turbokube-01db,9042
turbokube-01dc,9190
turbokube-01dd,8738
turbokube-01de,8798
turbokube-01df,8928
turbokube-01e0,9140
turbokube-01e1,9091
turbokube-01e2,8991
turbokube-01e3,8840
turbokube-01e4,8936
turbokube-01e5,9089
turbokube-01e6,8889
turbokube-01e7,9055
turbokube-01e8,8925
turbokube-01e9,9140
turbokube-01ea,9137
turbokube-01eb,9442
turbokube-01ec,8936
turbokube-01ed,9090
turbokube-01ee,8939
turbokube-01ef,8841
turbokube-01f0,9297
turbokube-01f1,9078
turbokube-01f2,9241
turbokube-01f3,9089
turbokube-01f4,9041
turbokube-01f5,8940
turbokube-01f6,9088
turbokube-01f7,8815
turbokube-01f8,8732
turbokube-01f9,9142
turbokube-01fa,9038
turbokube-01fb,9845
turbokube-01fc,9142
turbokube-01fd,9129
turbokube-01fe,9389
turbokube-01ff,9143
turbokube-0200,9192
turbokube-0201,8785
turbokube-0202,8810
turbokube-0203,9273
turbokube-0204,9190
turbokube-0205,8691
turbokube-0206,9342
turbokube-0207,8985
turbokube-0208,9243
turbokube-0209,8854
turbokube-020a,9068
turbokube-020b,9194
turbokube-020c,9135
turbokube-020d,8750
turbokube-020e,8683
turbokube-020f,8790
turbokube-0210,9436
turbokube-0211,8988
turbokube-0212,9087
turbokube-0213,9001
turbokube-0214,9327
turbokube-0215,9189
turbokube-0216,8689
turbokube-0217,8990
turbokube-0218,8989
turbokube-0219,9139
turbokube-021a,8992
turbokube-021b,8690
turbokube-021c,9752
turbokube-021d,9309
turbokube-021e,8838
turbokube-021f,8915
turbokube-0220,8806
turbokube-0221,8996
turbokube-0222,8939
turbokube-0223,9079
turbokube-0224,9095
turbokube-0225,9182
turbokube-0226,9041
turbokube-0227,9240
turbokube-0228,9491
turbokube-0229,9488
turbokube-022a,9291
turbokube-022b,9192
turbokube-022c,8990
turbokube-022d,8989
turbokube-022e,9137
turbokube-022f,8936
turbokube-0230,9202
turbokube-0231,8841
turbokube-0232,9240
turbokube-0233,8991
turbokube-0234,9039
turbokube-0235,8943
turbokube-0236,8891
turbokube-0237,9227
turbokube-0238,9791
turbokube-0239,8890
turbokube-023a,8840
turbokube-023b,9140
turbokube-023c,8791
turbokube-023d,9537
turbokube-023e,9292
turbokube-023f,9239
turbokube-0240,8992
turbokube-0241,9035
turbokube-0242,8835
turbokube-0243,8991
turbokube-0244,8888
turbokube-0245,9088
turbokube-0246,8790
turbokube-0247,8890
turbokube-0248,9146
turbokube-0249,9035
turbokube-024a,9241
turbokube-024b,9237
turbokube-024c,8842
turbokube-024d,9244
turbokube-024e,8887
turbokube-024f,9094
turbokube-0250,9278
turbokube-0251,9188
turbokube-0252,8989
turbokube-0253,8699
turbokube-0254,8733
turbokube-0255,8988
turbokube-0256,9189
turbokube-0257,8790
turbokube-0258,9241
turbokube-0259,8989
turbokube-025a,8894
turbokube-025b,8887
turbokube-025c,9291
turbokube-025d,8940
turbokube-025e,10092
turbokube-025f,8640
turbokube-0260,9135
turbokube-0261,8739
turbokube-0262,8941
turbokube-0263,9189
turbokube-0264,9290
turbokube-0265,9714
turbokube-0266,9314
turbokube-0267,8941
turbokube-0268,9238
turbokube-0269,8892
turbokube-026a,8998
turbokube-026b,9142
turbokube-026c,9140
turbokube-026d,9188
turbokube-026e,9090
turbokube-026f,9194
turbokube-0270,9185
turbokube-0271,9190
turbokube-0272,9490
turbokube-0273,9191
turbokube-0274,9189
turbokube-0275,8998
turbokube-0276,9233
turbokube-0277,9089
turbokube-0278,8840
turbokube-0279,8989
turbokube-027a,8940
turbokube-027b,9090
turbokube-027c,8889
turbokube-027d,8688
turbokube-027e,9047
turbokube-027f,9385
turbokube-0280,9440
turbokube-0281,8889
turbokube-0282,9141
turbokube-0283,8840
turbokube-0284,8941
turbokube-0285,8730
turbokube-0286,8748
turbokube-0287,8939
turbokube-0288,9047
turbokube-0289,9334
turbokube-028a,9341
turbokube-028b,8790
turbokube-028c,8891
turbokube-028d,9089
turbokube-028e,8790
turbokube-028f,9041
turbokube-0290,9542
