sequence,time (ms)
turbokube-0002,11923
turbokube-0003,14769
turbokube-0004,15987
turbokube-0005,14242
turbokube-0006,15741
turbokube-0007,15486
turbokube-0008,15684
turbokube-0009,15287
turbokube-000a,15341
turbokube-000b,15741
turbokube-000c,15490
turbokube-000d,15689
turbokube-000e,15287
turbokube-000f,15338
turbokube-0010,15742
turbokube-0011,15487
turbokube-0012,15686
turbokube-0013,15288
turbokube-0014,15337
turbokube-0015,15737
turbokube-0016,15489
turbokube-0017,15684
turbokube-0018,15257
turbokube-0019,15335
turbokube-001a,15741
turbokube-001b,15492
turbokube-001c,15686
turbokube-001d,15286
turbokube-001e,15338
turbokube-001f,15747
turbokube-0020,15491
turbokube-0021,15681
turbokube-0022,15277
turbokube-0023,15330
turbokube-0024,15734
turbokube-0025,15483
turbokube-0026,15689
turbokube-0027,15287
turbokube-0028,15336
turbokube-0029,15739
turbokube-002a,15605
turbokube-002b,15681
turbokube-002c,15107
turbokube-002d,15340
turbokube-002e,15737
turbokube-002f,15489
turbokube-0030,15687
turbokube-0031,15280
turbokube-0032,15336
turbokube-0033,15744
turbokube-0034,15490
turbokube-0035,15672
turbokube-0036,15289
turbokube-0037,15338
turbokube-0038,15737
turbokube-0039,15486
turbokube-003a,15692
turbokube-003b,15288
turbokube-003c,15327
turbokube-003d,15739
turbokube-003e,15487
turbokube-003f,15689
turbokube-0040,15285
turbokube-0041,15340
turbokube-0042,15739
turbokube-0043,15490
turbokube-0044,15688
turbokube-0045,15291
turbokube-0046,15336
turbokube-0047,15739
turbokube-0048,15488
turbokube-0049,15690
turbokube-004a,15287
turbokube-004b,15337
turbokube-004c,15741
turbokube-004d,15487
turbokube-004e,15684
turbokube-004f,15288
turbokube-0050,15339
turbokube-0051,15740
turbokube-0052,15485
turbokube-0053,15690
turbokube-0054,15290
turbokube-0055,15338
turbokube-0056,15736
turbokube-0057,15506
turbokube-0058,15690
turbokube-0059,15270
turbokube-005a,15338
turbokube-005b,15739
turbokube-005c,15490
turbokube-005d,15687
turbokube-005e,15289
turbokube-005f,15342
turbokube-0060,15739
turbokube-0061,15485
turbokube-0062,15687
turbokube-0063,15291
turbokube-0064,15339
turbokube-0065,15739
turbokube-0066,15488
turbokube-0067,15680
turbokube-0068,15287
turbokube-0069,15341
turbokube-006a,15741
turbokube-006b,15487
turbokube-006c,15687
turbokube-006d,15290
turbokube-006e,15334
turbokube-006f,15732
turbokube-0070,15488
turbokube-0071,15685
turbokube-0072,15290
turbokube-0073,15337
turbokube-0074,15737
turbokube-0075,15484
turbokube-0076,15690
turbokube-0077,15284
turbokube-0078,15335
turbokube-0079,15740
turbokube-007a,15490
turbokube-007b,15684
turbokube-007c,15290
turbokube-007d,15343
turbokube-007e,15737
turbokube-007f,15481
turbokube-0080,15687
turbokube-0081,15291
turbokube-0082,15339
turbokube-0083,15741
turbokube-0084,15490
turbokube-0085,15687
turbokube-0086,15285
turbokube-0087,15342
turbokube-0088,15742
turbokube-0089,15486
turbokube-008a,15690
turbokube-008b,15289
turbokube-008c,15344
turbokube-008d,15740
turbokube-008e,15482
turbokube-008f,15691
turbokube-0090,15287
turbokube-0091,15336
turbokube-0092,15738
turbokube-0093,15486
turbokube-0094,15488
turbokube-0095,15482
turbokube-0096,15541
turbokube-0097,15537
turbokube-0098,15488
turbokube-0099,15483
turbokube-009a,15492
turbokube-009b,15537
turbokube-009c,15535
turbokube-009d,15491
turbokube-009e,15489
turbokube-009f,15484
turbokube-00a0,15537
turbokube-00a1,15541
turbokube-00a2,15490
turbokube-00a3,15491
turbokube-00a4,15489
turbokube-00a5,15540
turbokube-00a6,15534
turbokube-00a7,15288
turbokube-00a8,15489
turbokube-00a9,15682
turbokube-00aa,15531
turbokube-00ab,15727
turbokube-00ac,15289
turbokube-00ad,15283
turbokube-00ae,15691
turbokube-00af,15534
turbokube-00b0,15738
turbokube-00b1,15286
turbokube-00b2,15266
turbokube-00b3,15685
turbokube-00b4,15524
turbokube-00b5,15734
turbokube-00b6,15304
turbokube-00b7,15290
turbokube-00b8,15674
turbokube-00b9,15741
turbokube-00ba,15337
turbokube-00bb,15260
turbokube-00bc,15687
turbokube-00bd,15480
turbokube-00be,15741
turbokube-00bf,15338
turbokube-00c0,15286
turbokube-00c1,15683
turbokube-00c2,15483
turbokube-00c3,15735
turbokube-00c4,15337
turbokube-00c5,15291
turbokube-00c6,15692
turbokube-00c7,15478
turbokube-00c8,15731
turbokube-00c9,15338
turbokube-00ca,15269
turbokube-00cb,15687
turbokube-00cc,15492
turbokube-00cd,15736
turbokube-00ce,15338
turbokube-00cf,15288
turbokube-00d0,15690
turbokube-00d1,15489
turbokube-00d2,15734
turbokube-00d3,15338
turbokube-00d4,15288
turbokube-00d5,15687
turbokube-00d6,15483
turbokube-00d7,15736
turbokube-00d8,15337
turbokube-00d9,15276
turbokube-00da,15663
turbokube-00db,15480
turbokube-00dc,15735
turbokube-00dd,15337
turbokube-00de,15275
turbokube-00df,15670
turbokube-00e0,15489
turbokube-00e1,15736
turbokube-00e2,15324
turbokube-00e3,15290
turbokube-00e4,15685
turbokube-00e5,15479
turbokube-00e6,15741
turbokube-00e7,15336
turbokube-00e8,15284
turbokube-00e9,15688
turbokube-00ea,15497
turbokube-00eb,15732
turbokube-00ec,15329
turbokube-00ed,15291
turbokube-00ee,15684
turbokube-00ef,15488
turbokube-00f0,15737
turbokube-00f1,15339
turbokube-00f2,15287
turbokube-00f3,15689
turbokube-00f4,15489
turbokube-00f5,15732
turbokube-00f6,15337
turbokube-00f7,15289
turbokube-00f8,15683
turbokube-00f9,15481
turbokube-00fa,15733
turbokube-00fb,15286
turbokube-00fc,15286
turbokube-00fd,15689
turbokube-00fe,15486
turbokube-00ff,15733
turbokube-0100,15328
turbokube-0101,15288
turbokube-0102,15693
turbokube-0103,15487
turbokube-0104,15733
turbokube-0105,15285
turbokube-0106,15532
turbokube-0107,15588
turbokube-0108,15284
turbokube-0109,15942
turbokube-010a,15331
turbokube-010b,15487
turbokube-010c,15487
turbokube-010d,15273
turbokube-010e,15918
turbokube-010f,15334
turbokube-0110,15487
turbokube-0111,15491
turbokube-0112,15287
turbokube-0113,15938
turbokube-0114,15339
turbokube-0115,15492
turbokube-0116,15488
turbokube-0117,15287
turbokube-0118,15953
turbokube-0119,15317
turbokube-011a,15472
turbokube-011b,15488
turbokube-011c,15290
turbokube-011d,15943
turbokube-011e,15337
turbokube-011f,15469
turbokube-0120,15489
turbokube-0121,15279
turbokube-0122,15933
turbokube-0123,15327
turbokube-0124,15479
turbokube-0125,15494
turbokube-0126,15290
turbokube-0127,15931
turbokube-0128,15334
turbokube-0129,15475
turbokube-012a,15485
turbokube-012b,15793
turbokube-012c,15792
turbokube-012d,15265
turbokube-012e,15285
turbokube-012f,15279
turbokube-0130,15730
turbokube-0131,15537
turbokube-0132,15690
turbokube-0133,15288
turbokube-0134,15286
turbokube-0135,15719
turbokube-0136,15537
turbokube-0137,15485
turbokube-0138,15477
turbokube-0139,15469
turbokube-013a,15523
turbokube-013b,15541
turbokube-013c,15487
turbokube-013d,15458
turbokube-013e,15483
turbokube-013f,15540
turbokube-0140,15532
turbokube-0141,15492
turbokube-0142,15487
turbokube-0143,15480
turbokube-0144,15533
turbokube-0145,15539
turbokube-0146,15484
turbokube-0147,15482
turbokube-0148,15485
turbokube-0149,15535
turbokube-014a,15538
turbokube-014b,15486
turbokube-014c,15485
turbokube-014d,15485
turbokube-014e,15485
turbokube-014f,15535
turbokube-0150,15480
turbokube-0151,15451
turbokube-0152,15690
turbokube-0153,15290
turbokube-0154,15268
turbokube-0155,15696
turbokube-0156,15546
turbokube-0157,15722
turbokube-0158,15279
turbokube-0159,15272
turbokube-015a,15687
turbokube-015b,15539
turbokube-015c,15722
turbokube-015d,15289
turbokube-015e,15271
turbokube-015f,15652
turbokube-0160,15537
turbokube-0161,15736
turbokube-0162,15265
turbokube-0163,15282
turbokube-0164,15688
turbokube-0165,15505
