sequence,time (ms)
turbokube-015b,7867
turbokube-015d,8589
turbokube-015e,7551
turbokube-015c,8642
turbokube-015f,8302
turbokube-0160,7430
turbokube-0161,8767
turbokube-0162,8708
turbokube-0163,9572
turbokube-0164,8255
turbokube-0165,13069
turbokube-0167,10726
turbokube-0166,11525
turbokube-0168,10241
turbokube-0169,7951
turbokube-016b,8591
turbokube-016a,8728
turbokube-016c,9116
turbokube-016d,8537
turbokube-016e,7627
turbokube-0170,8732
turbokube-016f,9344
turbokube-0171,9803
turbokube-0172,9174
turbokube-0173,8711
turbokube-0174,8995
turbokube-0175,10246
turbokube-0176,8743
turbokube-0177,8755
turbokube-0178,9875
turbokube-017a,7998
turbokube-0179,10133
turbokube-017b,8795
turbokube-017c,10495
turbokube-017d,9086
turbokube-017f,8655
turbokube-017e,10117
turbokube-0180,10341
turbokube-0181,8995
turbokube-0182,9149
turbokube-0183,11188
turbokube-0185,8173
turbokube-0184,10173
turbokube-0186,8546
turbokube-0187,9523
turbokube-0188,9864
turbokube-018a,9824
turbokube-0189,10171
turbokube-018b,9531
turbokube-018c,9720
turbokube-018d,9896
turbokube-018e,9950
turbokube-018f,10226
turbokube-0190,9316
turbokube-0191,8740
turbokube-0194,7032
turbokube-0196,7280
turbokube-0192,9186
turbokube-0193,10766
turbokube-0195,8958
turbokube-0197,10124
turbokube-0198,9895
turbokube-0199,10777
turbokube-019a,10638
turbokube-019b,9743
turbokube-019c,10939
turbokube-019d,9909
turbokube-019e,8885
turbokube-019f,9776
turbokube-01a0,10227
turbokube-01a1,10891
turbokube-01a2,9641
turbokube-01a3,8959
turbokube-01a4,11421
turbokube-01a6,9399
turbokube-01a5,11740
turbokube-01a7,9884
turbokube-01a8,10741
turbokube-01a9,10091
turbokube-01aa,10716
turbokube-01ab,8892
turbokube-01ac,10974
turbokube-01ad,9857
turbokube-01ae,10628
turbokube-01af,9796
turbokube-01b0,10958
turbokube-01b1,9814
turbokube-01b2,11278
turbokube-01b3,10201
turbokube-01b5,9393
turbokube-01b4,12055
turbokube-01b6,11189
turbokube-01b7,9988
turbokube-01b8,11395
turbokube-01b9,12249
turbokube-01ba,11869
turbokube-01bb,10424
turbokube-01bc,10975
turbokube-01bd,11423
turbokube-01be,11581
turbokube-01bf,10628
turbokube-01c0,10399
turbokube-01c1,11718
turbokube-01c2,11650
