sequence,time (ms)
turbokube-0001,6588
turbokube-0002,6477
turbokube-0000,6699
turbokube-0003,6625
turbokube-0004,6286
turbokube-0005,6528
turbokube-0006,6474
turbokube-0007,6812
turbokube-0008,6309
turbokube-0009,6323
turbokube-000a,6509
turbokube-000b,6660
turbokube-000c,6480
turbokube-000d,6301
turbokube-000e,6512
turbokube-000f,6531
turbokube-0010,6484
turbokube-0011,6456
turbokube-0012,6295
turbokube-0014,6515
turbokube-0013,8500
turbokube-0015,6546
turbokube-0016,6723
turbokube-0017,6259
turbokube-0018,6421
turbokube-0019,6403
turbokube-001a,6399
turbokube-001b,6342
turbokube-001c,6264
turbokube-001d,6224
turbokube-001e,6465
turbokube-001f,6341
turbokube-0020,6356
turbokube-0021,6240
turbokube-0022,6549
turbokube-0023,6724
turbokube-0024,6388
turbokube-0025,6365
turbokube-0026,6275
turbokube-0027,6545
turbokube-0028,7100
turbokube-0029,6322
turbokube-002a,6283
turbokube-002b,6446
turbokube-002c,6645
turbokube-002d,6582
turbokube-002e,6391
turbokube-002f,6140
turbokube-0030,6567
turbokube-0031,6441
turbokube-0032,6457
turbokube-0033,6658
turbokube-0034,6372
turbokube-0035,6517
turbokube-0036,6677
turbokube-0037,6625
turbokube-0038,6535
turbokube-0039,6579
turbokube-003a,6565
turbokube-003b,6647
turbokube-003c,6719
turbokube-003d,6503
turbokube-003e,6478
turbokube-003f,6586
turbokube-0040,6526
turbokube-0041,6593
turbokube-0042,6420
turbokube-0043,6498
turbokube-0044,6429
turbokube-0045,6478
turbokube-0046,6522
turbokube-0047,6718
turbokube-0048,6478
turbokube-0049,6396
turbokube-004a,6642
turbokube-004b,6499
turbokube-004c,6542
turbokube-004d,6606
turbokube-004e,6442
turbokube-004f,6706
turbokube-0050,6643
turbokube-0051,6539
turbokube-0052,6503
turbokube-0053,6559
turbokube-0054,6561
turbokube-0055,6500
turbokube-0056,6554
turbokube-0057,6529
turbokube-0058,6481
turbokube-0059,6580
turbokube-005a,6544
turbokube-005b,6732
turbokube-005c,6598
turbokube-005d,6496
turbokube-005e,6474
turbokube-005f,6693
turbokube-0060,6716
turbokube-0061,6656
turbokube-0062,6645
turbokube-0063,6604
turbokube-0064,6458
turbokube-0065,6581
turbokube-0066,6606
turbokube-0067,6654
turbokube-0068,6519
turbokube-0069,6621
turbokube-006a,6472
turbokube-006b,6587
turbokube-006c,6568
turbokube-006d,6548
turbokube-006e,6642
turbokube-006f,7620
turbokube-0070,6540
turbokube-0071,6478
turbokube-0072,6739
turbokube-0073,6096
turbokube-0074,6790
turbokube-0075,6478
turbokube-0076,6583
turbokube-0077,6546
turbokube-0078,6514
turbokube-0079,6639
turbokube-007a,6537
turbokube-007b,6719
turbokube-007c,6471
turbokube-007d,6553
turbokube-007e,6669
turbokube-007f,6429
turbokube-0080,6681
turbokube-0081,6412
turbokube-0082,6715
turbokube-0083,6619
turbokube-0084,6703
turbokube-0085,6614
turbokube-0086,6606
turbokube-0087,6584
turbokube-0088,6719
turbokube-0089,6716
turbokube-008a,6563
turbokube-008b,6704
turbokube-008c,6518
turbokube-008d,6704
turbokube-008e,6876
turbokube-008f,6492
turbokube-0090,6687
turbokube-0091,6565
turbokube-0092,6636
turbokube-0093,6696
turbokube-0094,6637
turbokube-0095,6630
turbokube-0096,6647
turbokube-0097,6618
turbokube-0098,6803
turbokube-0099,6789
turbokube-009a,6713
turbokube-009b,6704
turbokube-009c,6546
turbokube-009d,6868
turbokube-009e,6664
turbokube-009f,7000
turbokube-00a0,6657
turbokube-00a1,6489
turbokube-00a2,6636
turbokube-00a3,6565
turbokube-00a4,6562
turbokube-00a5,6473
turbokube-00a6,6540
turbokube-00a7,6680
turbokube-00a8,6534
turbokube-00a9,6648
turbokube-00aa,6718
turbokube-00ab,6537
turbokube-00ac,6706
turbokube-00ad,6666
turbokube-00ae,6752
turbokube-00af,6470
turbokube-00b0,6590
turbokube-00b1,6646
turbokube-00b2,6651
turbokube-00b3,6987
turbokube-00b4,6841
turbokube-00b5,6533
turbokube-00b6,6745
turbokube-00b7,6526
turbokube-00b8,6674
turbokube-00b9,6675
turbokube-00ba,6534
turbokube-00bb,6777
turbokube-00bc,6749
turbokube-00bd,6705
turbokube-00be,6705
turbokube-00bf,6681
turbokube-00c0,6915
turbokube-00c1,6851
turbokube-00c2,7035
turbokube-00c3,6791
turbokube-00c4,6679
turbokube-00c5,6884
turbokube-00c6,6642
turbokube-00c7,6974
turbokube-00c8,6802
turbokube-00c9,6469
turbokube-00ca,6795
turbokube-00cb,6780
turbokube-00cc,6618
turbokube-00cd,6741
turbokube-00ce,6474
turbokube-00cf,6562
turbokube-00d0,6769
turbokube-00d1,6827
turbokube-00d2,6714
turbokube-00d3,6487
turbokube-00d4,6917
turbokube-00d5,6869
turbokube-00d6,7201
turbokube-00d7,6889
turbokube-00d8,6759
turbokube-00d9,7111
turbokube-00da,6638
turbokube-00db,6631
turbokube-00dc,6857
turbokube-00dd,6586
turbokube-00de,6724
turbokube-00df,6675
turbokube-00e0,6820
turbokube-00e1,6949
turbokube-00e2,6759
turbokube-00e3,6643
turbokube-00e4,6743
turbokube-00e5,6759
turbokube-00e6,6814
turbokube-00e7,6629
turbokube-00e8,7000
turbokube-00e9,6867
turbokube-00ea,6896
turbokube-00eb,7031
turbokube-00ec,7058
turbokube-00ed,6790
turbokube-00ee,6811
turbokube-00ef,6892
turbokube-00f0,6870
turbokube-00f1,6623
turbokube-00f2,6791
turbokube-00f3,6636
turbokube-00f4,7149
turbokube-00f5,6719
turbokube-00f6,6879
turbokube-00f7,6686
turbokube-00f8,6486
turbokube-00f9,6670
turbokube-00fa,6655
turbokube-00fb,7035
turbokube-00fc,7437
turbokube-00fd,6570
turbokube-00fe,7067
turbokube-00ff,6835
turbokube-0100,6712
turbokube-0101,7044
turbokube-0102,6689
