sequence,time (ms)
turbokube-0003,6750
turbokube-0000,6501
turbokube-0001,6633
turbokube-0002,6660
turbokube-0004,6186
turbokube-0005,6281
turbokube-0006,6138
turbokube-0007,6387
turbokube-0008,6363
turbokube-0009,6371
turbokube-000a,6427
turbokube-000b,6536
turbokube-000c,6071
turbokube-000d,6408
turbokube-000e,6316
turbokube-000f,6555
turbokube-0010,6502
turbokube-0011,6186
turbokube-0012,6567
turbokube-0013,6507
turbokube-0014,6378
turbokube-0015,6503
turbokube-0016,6296
turbokube-0017,6579
turbokube-0019,6455
turbokube-0018,8538
turbokube-001a,6290
turbokube-001b,6253
turbokube-001c,6185
turbokube-001d,6115
turbokube-001e,6297
turbokube-001f,6567
turbokube-0020,6187
turbokube-0021,5884
turbokube-0022,6466
turbokube-0023,6271
turbokube-0024,6056
turbokube-0025,6231
turbokube-0026,6171
turbokube-0027,6434
turbokube-0028,6607
turbokube-0029,7782
turbokube-002a,6155
turbokube-002b,6196
turbokube-002c,6410
turbokube-002d,6807
turbokube-002e,6771
turbokube-002f,7280
turbokube-0030,6766
turbokube-0031,7098
turbokube-0032,6710
turbokube-0034,6760
turbokube-0033,9034
turbokube-0035,6307
turbokube-0036,6640
turbokube-0037,7085
turbokube-0038,6646
turbokube-0039,6759
turbokube-003a,6461
turbokube-003b,6176
turbokube-003c,6495
turbokube-003d,6350
turbokube-003e,6522
turbokube-003f,6099
turbokube-0040,6464
turbokube-0041,6556
turbokube-0042,6669
turbokube-0043,6577
turbokube-0044,6123
turbokube-0045,6576
turbokube-0046,6486
turbokube-0047,6636
turbokube-0048,6603
turbokube-0049,6263
turbokube-004a,6518
turbokube-004b,6740
turbokube-004c,6589
turbokube-004d,6664
turbokube-004e,6346
turbokube-004f,6633
turbokube-0050,6532
turbokube-0051,6762
turbokube-0052,6446
turbokube-0053,6489
turbokube-0054,6423
turbokube-0055,6540
turbokube-0056,6444
turbokube-0057,6519
turbokube-0058,6610
turbokube-0059,6748
turbokube-005a,6606
turbokube-005b,6574
turbokube-005c,6460
turbokube-005d,6336
turbokube-005e,6548
turbokube-005f,6642
turbokube-0060,6645
turbokube-0061,6489
turbokube-0062,6490
turbokube-0063,6526
turbokube-0064,6657
turbokube-0065,6633
turbokube-0066,6511
turbokube-0067,6554
turbokube-0068,6471
turbokube-0069,6491
turbokube-006a,6529
turbokube-006b,6446
turbokube-006c,6536
turbokube-006d,6536
turbokube-006e,6579
turbokube-006f,6487
turbokube-0070,6688
turbokube-0071,6673
turbokube-0072,6514
turbokube-0073,6577
turbokube-0074,6560
turbokube-0075,6866
turbokube-0076,6471
turbokube-0077,6611
turbokube-0078,6754
turbokube-0079,6631
turbokube-007a,6491
turbokube-007b,6429
turbokube-007c,6698
turbokube-007d,6802
turbokube-007e,6571
turbokube-007f,6702
turbokube-0080,6435
turbokube-0081,6767
turbokube-0082,6797
turbokube-0083,6677
turbokube-0084,6531
turbokube-0085,6566
turbokube-0086,6695
turbokube-0087,6574
turbokube-0088,6642
turbokube-0089,6620
turbokube-008a,6502
turbokube-008b,6481
turbokube-008c,6739
turbokube-008d,6684
turbokube-008e,6614
turbokube-008f,6726
turbokube-0090,6642
turbokube-0091,6832
turbokube-0092,6794
turbokube-0093,6789
turbokube-0094,6553
turbokube-0095,6661
turbokube-0096,6707
turbokube-0097,6597
turbokube-0098,6606
turbokube-0099,6785
turbokube-009a,6463
turbokube-009b,6589
turbokube-009c,6697
turbokube-009d,6682
turbokube-009e,6650
turbokube-009f,6750
turbokube-00a0,6711
turbokube-00a1,6752
turbokube-00a2,6763
turbokube-00a3,6698
turbokube-00a4,6483
turbokube-00a5,6776
turbokube-00a6,6826
turbokube-00a7,6682
turbokube-00a8,6670
turbokube-00a9,6876
turbokube-00aa,6633
turbokube-00ab,6439
turbokube-00ac,6896
turbokube-00ad,6803
turbokube-00ae,6510
turbokube-00af,6858
turbokube-00b0,6748
turbokube-00b1,6797
turbokube-00b2,6551
turbokube-00b3,6421
turbokube-00b4,6810
turbokube-00b5,6936
turbokube-00b6,6639
turbokube-00b7,6529
turbokube-00b8,6716
turbokube-00b9,6684
turbokube-00ba,6825
turbokube-00bb,6579
turbokube-00bc,6555
turbokube-00bd,6736
turbokube-00be,6835
turbokube-00bf,6625
turbokube-00c0,6705
turbokube-00c2,6619
turbokube-00c1,9296
turbokube-00c3,6829
turbokube-00c4,6795
turbokube-00c5,6335
turbokube-00c6,6923
turbokube-00c7,6979
turbokube-00c8,7025
turbokube-00c9,6329
turbokube-00ca,6722
turbokube-00cb,6843
