sequence,time (ms)
turbokube-0002,7245
turbokube-0000,8259
turbokube-0001,7372
turbokube-0003,7310
turbokube-0004,6518
turbokube-0005,6700
turbokube-0006,6889
turbokube-0007,7336
turbokube-0008,8709
turbokube-0009,7101
turbokube-000a,7255
turbokube-000b,8264
turbokube-000c,6757
turbokube-000d,8838
turbokube-000e,10700
turbokube-000f,10925
turbokube-0010,9072
turbokube-0011,8057
turbokube-0012,7990
turbokube-0013,8667
turbokube-0014,11333
turbokube-0015,14074
turbokube-0016,13298
turbokube-0017,12788
turbokube-0018,10273
turbokube-0019,9060
turbokube-001a,13747
turbokube-001b,14533
turbokube-001c,13606
turbokube-001d,13129
turbokube-001e,8646
turbokube-001f,11752
turbokube-0020,16027
turbokube-0021,19260
turbokube-0023,12227
turbokube-0022,19055
turbokube-0024,11795
turbokube-0025,14530
turbokube-0027,19446
turbokube-0026,24238
turbokube-0028,18818
turbokube-0029,12077
turbokube-002a,13405
turbokube-002b,15010
turbokube-002c,23596
turbokube-002d,26502
turbokube-002e,18823
turbokube-002f,14443
turbokube-0030,19603
turbokube-0031,27405
turbokube-0033,35121
turbokube-0035,13500
turbokube-0032,41687
turbokube-0036,12827
turbokube-0034,38312
turbokube-0037,18196
turbokube-0038,22335
turbokube-0039,21979
turbokube-003a,26006
turbokube-003b,27228
turbokube-003c,21094
turbokube-003d,22866
turbokube-003e,22527
turbokube-003f,29079
turbokube-0041,23248
turbokube-0042,16999
turbokube-0043,17361
turbokube-0044,20632
turbokube-0045,24754
turbokube-0040,61379
turbokube-0046,24842
turbokube-0047,23515
turbokube-0048,24916
turbokube-0049,32396
turbokube-004a,37177
turbokube-004b,32710
turbokube-004c,28933
turbokube-004d,23970
turbokube-0051,29572
turbokube-0050,42462
turbokube-004e,47021
turbokube-0052,16002
turbokube-0053,42745
turbokube-004f,90917
turbokube-0056,25716
turbokube-0054,67918
turbokube-0055,59939
turbokube-0057,54471
